city;orientacao;vidro;WWR;briseh;brisev;Heating;Cooling;InteriorLights;InteriorEquipment;Fans;TotalElectricity
Ssa;L;0.7;0.6;0;6;0;1930;752;1002;165;3850
Ssa;L;0.7;0.4;0;8;0;1701;752;1002;136;3591
Ssa;L;0.7;0.5;0;8;0;1796;752;1002;149;3699
Ssa;L;0.7;0.6;0;8;0;1889;752;1002;161;3804
Ssa;L;0.6;0.4;0;0;0;1756;752;1002;140;3650
Ssa;L;0.6;0.5;0;0;0;1864;752;1002;154;3773
Ssa;L;0.6;0.6;0;0;0;1969;752;1002;168;3891
Ssa;L;0.6;0.4;10;0;0;1594;752;1002;121;3469
Ssa;L;0.6;0.5;10;0;0;1703;752;1002;135;3592
Ssa;L;0.6;0.6;10;0;0;1809;752;1002;149;3712
Ssa;L;0.6;0.4;20;0;0;1536;752;1002;111;3400
Ssa;L;0.6;0.5;20;0;0;1613;752;1002;119;3486
Ssa;L;0.6;0.6;20;0;0;1688;752;1002;134;3575
Ssa;L;0.6;0.4;30;0;0;1494;752;1002;106;3354
Ssa;L;0.6;0.5;30;0;0;1559;752;1002;113;3426
Ssa;L;0.6;0.6;30;0;0;1639;752;1002;122;3515
Ssa;L;0.6;0.4;0;4;0;1712;752;1002;136;3602
Ssa;L;0.6;0.5;0;4;0;1810;752;1002;149;3713
Ssa;L;0.6;0.6;0;4;0;1904;752;1002;162;3820
Ssa;L;0.6;0.4;0;6;0;1684;752;1002;134;3572
Ssa;L;0.6;0.5;0;6;0;1777;752;1002;146;3677
Ssa;L;0.6;0.6;0;6;0;1865;752;1002;158;3777
Ssa;L;0.6;0.4;0;8;0;1658;752;1002;131;3544
Ssa;L;0.6;0.5;0;8;0;1744;752;1002;143;3642
Ssa;L;0.6;0.6;0;8;0;1827;752;1002;155;3736
Ssa;L;0.5;0.4;0;0;0;1712;752;1002;136;3602
Ssa;L;0.5;0.5;0;0;0;1810;752;1002;149;3713
Ssa;L;0.5;0.6;0;0;0;1905;752;1002;162;3821
Ssa;L;0.5;0.4;10;0;0;1567;752;1002;119;3439
Ssa;L;0.5;0.5;10;0;0;1664;752;1002;131;3549
Ssa;L;0.5;0.6;10;0;0;1760;752;1002;144;3658
Ssa;L;0.5;0.4;20;0;0;1513;752;1002;108;3375
Ssa;L;0.5;0.5;20;0;0;1559;752;1002;117;3430
Ssa;L;0.5;0.6;20;0;0;1649;752;1002;129;3532
Ssa;L;0.5;0.4;30;0;0;1475;752;1002;104;3333
Ssa;L;0.5;0.5;30;0;0;1532;752;1002;110;3396
Ssa;L;0.5;0.6;30;0;0;1603;752;1002;118;3474
Ssa;L;0.5;0.4;0;4;0;1672;752;1002;132;3558
Ssa;L;0.5;0.5;0;4;0;1760;752;1002;144;3659
Ssa;L;0.5;0.6;0;4;0;1846;752;1002;156;3756
Ssa;L;0.5;0.4;0;6;0;1647;752;1002;130;3531
Ssa;L;0.5;0.5;0;6;0;1730;752;1002;142;3625
Ssa;L;0.5;0.6;0;6;0;1809;752;1002;153;3716
Ssa;L;0.5;0.4;0;8;0;1623;752;1002;128;3505
Ssa;L;0.5;0.5;0;8;0;1701;752;1002;139;3593
Ssa;L;0.5;0.6;0;8;0;1775;752;1002;149;3678
Ssa;L;0.4;0.4;0;0;0;1688;752;1002;136;3578
Ssa;L;0.4;0.5;0;0;0;1779;752;1002;148;3681
Ssa;L;0.4;0.6;0;0;0;1865;752;1002;160;3779
Ssa;L;0.4;0.4;10;0;0;1554;752;1002;118;3426
Ssa;L;0.4;0.5;10;0;0;1644;752;1002;131;3529
Ssa;L;0.4;0.6;10;0;0;1732;752;1002;143;3629
Ssa;L;0.4;0.4;20;0;0;1494;752;1002;106;3354
Ssa;L;0.4;0.5;20;0;0;1542;752;1002;116;3412
Ssa;L;0.4;0.6;20;0;0;1626;752;1002;128;3508
Ssa;L;0.4;0.4;30;0;0;1460;752;1002;102;3316
Ssa;L;0.4;0.5;30;0;0;1512;752;1002;108;3374
Ssa;L;0.4;0.6;30;0;0;1550;752;1002;117;3420
Ssa;L;0.4;0.4;0;4;0;1650;752;1002;132;3535
Ssa;L;0.4;0.5;0;4;0;1730;752;1002;143;3628
Ssa;L;0.4;0.6;0;4;0;1808;752;1002;154;3716
Ssa;L;0.4;0.4;0;6;0;1626;752;1002;130;3510
Ssa;L;0.4;0.5;0;6;0;1701;752;1002;141;3595
Ssa;L;0.4;0.6;0;6;0;1773;752;1002;151;3677
Ssa;L;0.4;0.4;0;8;0;1603;752;1002;128;3485
Ssa;L;0.4;0.5;0;8;0;1673;752;1002;138;3565
Ssa;L;0.4;0.6;0;8;0;1739;752;1002;148;3641
Ssa;L;0.3;0.4;0;0;0;1637;752;1002;131;3522
Ssa;L;0.3;0.5;0;0;0;1712;752;1002;142;3608
Ssa;L;0.3;0.6;0;0;0;1785;752;1002;152;3691
Ssa;L;0.3;0.4;10;0;0;1519;752;1002;115;3388
Ssa;L;0.3;0.5;10;0;0;1596;752;1002;126;3475
Ssa;L;0.3;0.6;10;0;0;1669;752;1002;137;3560
Ssa;L;0.3;0.4;20;0;0;1466;752;1002;103;3322
Ssa;L;0.3;0.5;20;0;0;1507;752;1002;113;3373
Ssa;L;0.3;0.6;20;0;0;1578;752;1002;123;3455
Ssa;L;0.3;0.4;30;0;0;1438;752;1002;100;3291
Ssa;L;0.3;0.5;30;0;0;1480;752;1002;104;3338
Ssa;L;0.3;0.6;30;0;0;1511;752;1002;113;3377
Ssa;L;0.3;0.4;0;4;0;1602;752;1002;128;3484
Ssa;L;0.3;0.5;0;4;0;1670;752;1002;137;3561
Ssa;L;0.3;0.6;0;4;0;1735;752;1002;147;3636
Ssa;L;0.3;0.4;0;6;0;1581;752;1002;126;3460
Ssa;L;0.3;0.5;0;6;0;1644;752;1002;135;3533
Ssa;L;0.3;0.6;0;6;0;1704;752;1002;144;3602
Ssa;L;0.3;0.4;0;8;0;1561;752;1002;124;3438
Ssa;L;0.3;0.5;0;8;0;1619;752;1002;133;3505
Ssa;L;0.3;0.6;0;8;0;1675;752;1002;141;3570
Ssa;S;0.8;0.4;0;0;0;1435;752;1002;105;3295
Ssa;S;0.8;0.5;0;0;0;1488;752;1002;111;3354
